,Symbol,Consensus,Consensus Score
75,BF.B,Hold,2.7916666666666665
76,BLDR,Buy,4.115384615384615
77,BG,Buy,3.9
78,BXP,Hold,3.4
79,CHRW,Buy,3.6129032258064515
80,CDNS,Buy,4.0
81,CZR,Buy,3.8095238095238093
82,CPT,Buy,3.5517241379310347
83,CPB,Hold,3.32
84,COF,Buy,3.730769230769231
85,CAH,Buy,3.909090909090909
86,KMX,Buy,3.727272727272727
87,CCL,Buy,4.066666666666666
88,CARR,Buy,3.7096774193548385
89,CTLT,Hold,2.642857142857143
90,CAT,Hold,3.4193548387096775
91,CBOE,Hold,3.48
92,CBRE,Buy,4.111111111111111
93,CDW,Buy,3.764705882352941
94,CE,Hold,2.7142857142857144
95,COR,Buy,3.8636363636363638
96,CNC,Buy,3.7083333333333335
97,CNP,Hold,3.4545454545454546
98,CF,Buy,3.5172413793103448
99,CRL,Hold,3.28
100,SCHW,Buy,3.896551724137931
101,CHTR,Hold,3.4193548387096775
102,CVX,Buy,3.9310344827586206
103,CMG,Buy,4.1
104,CB,Buy,3.6875
105,CHD,Hold,3.3666666666666667
106,CI,Buy,4.090909090909091
107,CINF,Buy,3.8125
108,CTAS,Buy,3.56
109,CSCO,Buy,3.7096774193548385
110,C,Buy,4.074074074074074
111,CFG,Buy,3.769230769230769
112,CLX,Hold,2.7586206896551726
113,CME,Hold,3.4545454545454546
114,CMS,Buy,3.8260869565217392
115,KO,Buy,3.9722222222222223
116,CTSH,Hold,3.3333333333333335
117,CL,Buy,3.71875
118,CMCSA,Buy,3.7948717948717947
119,CAG,Hold,3.3181818181818183
120,COP,Buy,4.151515151515151
121,ED,Hold,2.740740740740741
122,STZ,Buy,3.8
123,CEG,Buy,4.0
124,COO,Buy,3.9565217391304346
125,CPRT,Buy,4.0
126,GLW,Buy,3.95
127,CPAY,Buy,4.08
128,CTVA,Buy,3.9655172413793105
129,CSGP,Buy,4.095238095238095
130,COST,Buy,3.933333333333333
131,CTRA,Buy,4.129032258064516
132,CRWD,Buy,4.035714285714286
133,CCI,Hold,3.28
134,CSX,Buy,3.96875
135,CMI,Buy,3.5714285714285716
136,CVS,Buy,3.787878787878788
137,DHI,Hold,3.4615384615384617
138,DHR,Buy,4.151515151515151
139,DRI,Buy,3.861111111111111
140,DVA,Hold,2.625
141,DAY,Buy,3.7916666666666665
142,DECK,Buy,3.7
143,DE,Buy,3.75
144,DELL,Buy,4.033333333333333
145,DAL,Buy,4.296296296296297
146,DVN,Buy,3.911764705882353
147,DXCM,Buy,4.28125
148,FANG,Buy,4.027027027027027
149,DLR,Buy,3.8666666666666667
150,DFS,Buy,3.619047619047619
151,DG,Buy,3.575
152,DLTR,Hold,3.4285714285714284
153,D,Hold,3.44
154,DPZ,Buy,3.972972972972973
155,DOV,Buy,3.9565217391304346
156,DOW,Hold,3.423076923076923
157,DTE,Buy,3.9166666666666665
158,DUK,Buy,3.7083333333333335
159,DD,Buy,3.9615384615384617
160,EMN,Buy,3.72
161,ETN,Buy,3.8484848484848486
162,EBAY,Hold,3.45
163,ECL,Buy,3.774193548387097
164,EIX,Buy,3.869565217391304
165,EW,Buy,3.6666666666666665
166,EA,Buy,3.7142857142857144
167,ELV,Buy,3.892857142857143
168,EMR,Buy,3.9375
169,ENPH,Hold,3.3555555555555556
170,ETR,Buy,3.772727272727273
171,EOG,Buy,3.7222222222222223
172,EPAM,Buy,3.857142857142857
173,EQT,Buy,3.8666666666666667
174,EFX,Buy,4.153846153846154
175,EQIX,Buy,4.121212121212121
176,EQR,Buy,3.566666666666667
177,ERIE,Buy,4.125
178,ESS,Hold,3.3225806451612905
179,EL,Hold,3.3333333333333335
180,EG,Buy,3.9545454545454546
181,EVRG,Buy,4.05
182,ES,Buy,3.7857142857142856
183,EXC,Buy,3.652173913043478
184,EXPE,Buy,3.558139534883721
185,EXPD,Sell,2.409090909090909
186,EXR,Hold,3.347826086956522
187,XOM,Buy,3.75
188,FFIV,Hold,2.736842105263158
189,FDS,Hold,2.642857142857143
190,FICO,Buy,3.7083333333333335
191,FAST,Hold,2.772727272727273
192,FRT,Buy,4.0
193,FDX,Buy,3.8285714285714287
194,FIS,Buy,3.6944444444444446
195,FITB,Buy,3.896551724137931
196,FSLR,Buy,4.133333333333334
197,FE,Buy,3.769230769230769
198,FI,Buy,4.2444444444444445
199,FMC,Buy,3.5416666666666665
200,F,Hold,2.78125
201,FTNT,Buy,3.5625
202,FTV,Buy,3.72
203,FOXA,Buy,3.6333333333333333
204,FOX,Buy,3.6333333333333333
205,BEN,Sell,2.4761904761904763
206,FCX,Buy,3.6666666666666665
207,GRMN,Hold,2.7333333333333334
208,IT,Buy,3.75
209,GE,Buy,4.214285714285714
210,GEHC,Buy,3.923076923076923
211,GEV,Buy,3.933333333333333
212,GEN,Buy,3.7142857142857144
213,GNRC,Buy,3.59375
214,GD,Buy,3.8181818181818183
215,GIS,Hold,3.4
216,GM,Buy,3.7567567567567566
217,GPC,Buy,3.5
218,GILD,Buy,3.8947368421052633
219,GPN,Buy,3.75
220,GL,Buy,3.9
221,GDDY,Buy,3.84
222,GS,Buy,3.966666666666667
223,HAL,Buy,3.911764705882353
224,HIG,Buy,3.64
225,HAS,Buy,4.166666666666667
226,HCA,Buy,3.966666666666667
227,DOC,Buy,4.041666666666667
228,HSIC,Buy,3.761904761904762
229,HSY,Hold,2.696969696969697
230,HES,Buy,3.7
231,HPE,Buy,3.789473684210526
232,HLT,Buy,3.5625
233,HOLX,Buy,3.6785714285714284
234,HD,Buy,3.8958333333333335
235,HON,Buy,3.6451612903225805
236,HRL,Hold,2.6842105263157894
237,HST,Buy,4.08
238,HWM,Buy,4.0
239,HPQ,Hold,3.35
240,HUBB,Buy,3.7142857142857144
241,HUM,Hold,3.4516129032258065
242,HBAN,Buy,3.8214285714285716
243,HII,Hold,2.7
244,IBM,Buy,3.5
245,IEX,Buy,3.8421052631578947
246,IDXX,Buy,3.857142857142857
247,ITW,Hold,2.7857142857142856
248,INCY,Buy,3.8181818181818183
249,IR,Buy,3.88
250,PODD,Buy,4.233333333333333
251,INTC,Hold,2.84
252,ICE,Buy,4.045454545454546
253,IFF,Buy,3.9615384615384617
254,IP,Buy,3.7777777777777777
255,IPG,Buy,3.6
256,INTU,Buy,4.0
257,ISRG,Buy,4.0256410256410255
258,IVZ,Hold,3.3333333333333335
259,INVH,Buy,3.566666666666667
260,IQV,Buy,4.064516129032258
261,IRM,Buy,3.8461538461538463
262,JBHT,Buy,4.0
263,SJM,Hold,3.380952380952381
264,JBL,Buy,4.0
265,JKHY,Buy,3.56
266,J,Buy,3.9166666666666665
267,JNJ,Buy,3.6785714285714284
268,JCI,Buy,3.7777777777777777
269,JPM,Buy,3.6785714285714284
270,JNPR,Hold,3.473684210526316
271,K,Hold,3.3333333333333335
272,KVUE,Buy,3.652173913043478
273,KDP,Buy,3.7083333333333335
274,KEY,Buy,3.6538461538461537
275,KEYS,Buy,4.0
276,KMB,Hold,3.3333333333333335
277,KIM,Buy,3.6153846153846154
278,KMI,Buy,3.68
279,KKR,Buy,4.166666666666667
280,KLAC,Buy,3.9705882352941178
281,KHC,Buy,3.5555555555555554
282,KR,Buy,3.875
283,LHX,Buy,4.0
284,LH,Buy,4.107142857142857
285,LRCX,Buy,3.945945945945946
286,LW,Buy,3.7142857142857144
287,LVS,Buy,3.9583333333333335
288,LDOS,Buy,4.0
289,LEN,Hold,3.44
290,LLY,Buy,4.090909090909091
291,LIN,Buy,3.838709677419355
292,LYV,Buy,4.038461538461538
293,LKQ,Buy,4.142857142857143
294,LMT,Buy,3.6785714285714284
295,L,Sell,2.142857142857143
296,LOW,Buy,3.738095238095238
297,LULU,Buy,3.8292682926829267
298,LYB,Hold,3.357142857142857
299,MTB,Buy,3.8333333333333335
300,MRO,Buy,3.6538461538461537
301,MPC,Buy,3.6956521739130435
302,MKTX,Buy,3.6
303,MAR,Hold,3.4375
304,MMC,Hold,3.28
305,MLM,Buy,4.0
306,MAS,Buy,3.5185185185185186
307,MA,Buy,4.0625
308,MTCH,Buy,3.625
309,MKC,Buy,3.6666666666666665
310,MCD,Buy,3.8636363636363638
311,MCK,Buy,4.136363636363637
312,MDT,Buy,3.5405405405405403
313,MRK,Buy,3.9375
314,META,Buy,4.141025641025641
315,MET,Buy,3.9047619047619047
316,MTD,Hold,3.263157894736842
317,MGM,Buy,4.0
318,MCHP,Buy,3.935483870967742
319,MU,Buy,4.1063829787234045
320,MSFT,Buy,4.246153846153846
321,MAA,Buy,3.6451612903225805
322,MRNA,Hold,3.25
323,MHK,Buy,3.772727272727273
324,MOH,Hold,3.4761904761904763
325,TAP,Hold,3.2
326,MDLZ,Buy,3.9393939393939394
327,MPWR,Buy,3.9565217391304346
328,MNST,Buy,3.696969696969697
329,MCO,Buy,3.7777777777777777
330,MS,Buy,3.6451612903225805
331,MOS,Hold,3.4583333333333335
332,MSI,Buy,4.166666666666667
333,MSCI,Buy,3.875
334,NDAQ,Buy,4.0
335,NTAP,Buy,3.5
336,NFLX,Buy,4.018518518518518
337,NEM,Buy,3.9166666666666665
338,NWSA,Buy,4.1875
339,NWS,Buy,4.1875
340,NEE,Buy,3.8518518518518516
341,NKE,Buy,3.6744186046511627
342,NI,Buy,4.25
343,NDSN,Buy,3.75
344,NSC,Buy,3.78125
345,NTRS,Hold,3.3636363636363638
346,NOC,Buy,3.6206896551724137
347,NCLH,Buy,3.9285714285714284
348,NRG,Buy,3.933333333333333
349,NUE,Buy,3.75
350,NVDA,Buy,4.246376811594203
351,NVR,Buy,3.5454545454545454
352,NXPI,Buy,3.864864864864865
353,ORLY,Buy,3.9444444444444446
354,OXY,Hold,3.4193548387096775
355,ODFL,Hold,3.3666666666666667
356,OMC,Buy,3.8125
357,ON,Buy,3.6666666666666665
358,OKE,Buy,3.727272727272727
359,ORCL,Buy,3.8444444444444446
360,OTIS,Hold,3.409090909090909
361,PCAR,Hold,3.4814814814814814
362,PKG,Buy,3.7857142857142856
363,PLTR,Hold,2.730769230769231
364,PANW,Buy,3.9166666666666665
365,PARA,Hold,2.7096774193548385
366,PH,Buy,4.066666666666666
367,PAYX,Hold,2.6956521739130435
368,PAYC,Hold,3.4615384615384617
369,PYPL,Buy,3.7058823529411766
370,PNR,Buy,3.8
371,PEP,Buy,3.607142857142857
372,PFE,Buy,3.586206896551724
373,PCG,Buy,4.0
374,PM,Buy,4.086956521739131
375,PSX,Buy,3.875
376,PNW,Buy,3.857142857142857
377,PNC,Buy,3.814814814814815
378,POOL,Buy,3.6842105263157894
379,PPG,Buy,3.71875
380,PPL,Buy,4.0476190476190474
381,PFG,Hold,3.3684210526315788
382,PG,Buy,3.891891891891892
383,PGR,Buy,3.84
384,PLD,Buy,3.9642857142857144
385,PRU,Hold,3.380952380952381
386,PTC,Buy,4.041666666666667
387,PEG,Buy,3.64
388,PSA,Buy,3.7083333333333335
389,PHM,Buy,3.772727272727273
390,QRVO,Hold,3.264705882352941
391,QCOM,Buy,3.717391304347826
392,PWR,Buy,4.066666666666666
393,DGX,Buy,3.9565217391304346
394,RL,Buy,3.888888888888889
395,RJF,Buy,3.6315789473684212
396,O,Buy,3.5517241379310347
397,REG,Buy,4.0
398,REGN,Buy,3.911764705882353
399,RF,Buy,3.8125
400,RSG,Buy,3.962962962962963
401,RMD,Buy,3.6818181818181817
402,RVTY,Buy,3.888888888888889
403,ROK,Hold,3.484848484848485
404,ROL,Buy,3.6470588235294117
405,ROP,Buy,3.857142857142857
406,ROST,Buy,3.9285714285714284
407,RCL,Buy,4.068965517241379
408,RTX,Buy,3.5714285714285716
409,SPGI,Buy,4.266666666666667
410,CRM,Buy,3.9464285714285716
411,SBAC,Buy,3.92
412,SLB,Buy,4.0285714285714285
413,STX,Buy,3.8
414,SRE,Buy,4.125
415,NOW,Buy,4.081632653061225
416,SHW,Buy,3.696969696969697
417,SPG,Buy,3.6956521739130435
418,SWKS,Hold,3.342857142857143
419,SW,Buy,4.086956521739131
420,SNA,Hold,3.375
421,SOLV,Hold,2.764705882352941
422,SO,Buy,3.6666666666666665
423,LUV,Hold,2.6666666666666665
424,SWK,Hold,3.347826086956522
425,SBUX,Buy,3.5454545454545454
426,STT,Buy,3.619047619047619
427,STLD,Buy,3.5714285714285716
428,STE,,
429,SYK,Buy,3.9722222222222223
430,SMCI,Hold,3.4444444444444446
431,SYF,Buy,3.8518518518518516
432,SNPS,Buy,4.178571428571429
433,SYY,Buy,3.75
434,TMUS,Buy,3.9444444444444446
435,TROW,Hold,2.5
436,TTWO,Buy,4.176470588235294
437,TPR,Buy,3.888888888888889
438,TRGP,Buy,4.172413793103448
439,TGT,Buy,3.642857142857143
440,TEL,Buy,3.76
441,TDY,Buy,4.066666666666666
442,TFX,Buy,3.5555555555555554
443,TER,Buy,3.6666666666666665
444,TSLA,Hold,3.3448275862068964
445,TXN,Hold,3.3076923076923075
446,TXT,Buy,3.6666666666666665
447,TMO,Buy,4.081081081081081
448,TJX,Buy,4.103448275862069
449,TSCO,Buy,3.6341463414634148
450,TT,Buy,3.5757575757575757
451,TDG,Buy,3.962962962962963
452,TRV,Hold,3.4
453,TRMB,Buy,4.2631578947368425
454,TFC,Buy,3.6538461538461537
455,TYL,Buy,4.0
456,TSN,Hold,3.4444444444444446
457,USB,Buy,3.75
458,UBER,Buy,4.112903225806452
459,UDR,Buy,3.5714285714285716
460,ULTA,Buy,3.5945945945945947
461,UNP,Buy,3.8529411764705883
462,UAL,Buy,4.222222222222222
463,UPS,Buy,3.8
464,URI,Buy,3.5185185185185186
465,UNH,Buy,4.264705882352941
466,UHS,Buy,3.5833333333333335
467,VLO,Buy,3.875
468,VTR,Buy,4.083333333333333
469,VLTO,Buy,3.782608695652174
470,VRSN,Buy,4.1
471,VRSK,Buy,3.7916666666666665
472,VZ,Buy,3.6857142857142855
473,VRTX,Buy,3.85
474,VTRS,Hold,2.7333333333333334
475,VICI,Buy,4.129032258064516
476,V,Buy,4.1063829787234045
477,VST,Buy,4.157894736842105
478,VMC,Buy,3.9642857142857144
479,WRB,Buy,3.6818181818181817
480,GWW,Hold,3.3043478260869565
481,WAB,Buy,3.9375
482,WBA,Hold,2.8076923076923075
483,WMT,Buy,4.170212765957447
484,DIS,Buy,3.8947368421052633
485,WBD,Buy,3.588235294117647
486,WM,Buy,3.935483870967742
487,WAT,Hold,3.3846153846153846
488,WEC,Hold,3.4545454545454546
489,WFC,Buy,3.8275862068965516
490,WELL,Buy,4.04
491,WST,Buy,4.0
492,WDC,Buy,3.903225806451613
493,WY,Buy,4.05
494,WMB,Buy,3.6923076923076925
495,WTW,Buy,3.76
496,WYNN,Buy,4.12
497,XEL,Buy,4.0
498,XYL,Buy,3.9583333333333335
499,YUM,Hold,3.4411764705882355
500,ZBRA,Buy,3.76
501,ZBH,Buy,3.5142857142857142
502,ZTS,Buy,4.08
MMM,,,
AOS,,,
ABT,,,
ABBV,,,
ACN,,,
ADBE,,,
AMD,,,
AES,,,
AFL,,,
A,,,
APD,,,
ABNB,,,
AKAM,,,
ALB,,,
ARE,,,
ALGN,,,
ALLE,,,
LNT,,,
ALL,,,
GOOGL,,,
GOOG,,,
MO,,,
AMZN,,,
AMCR,,,
AMTM,,,
AEE,,,
AEP,,,
AXP,,,
AIG,,,
AMT,,,
AWK,,,
AMP,,,
AME,,,
AMGN,,,
APH,,,
ADI,,,
ANSS,,,
AON,,,
APA,,,
AAPL,,,
AMAT,,,
APTV,,,
ACGL,,,
ADM,,,
ANET,,,
AJG,,,
AIZ,,,
T,,,
ATO,,,
ADSK,,,
ADP,,,
AZO,,,
AVB,,,
AVY,,,
AXON,,,
BKR,,,
BALL,,,
BAC,,,
BAX,,,
BDX,,,
